00001	00000001	00000010	0
00001	11111111	11111111	0
00001	00011111	00000011	0
00010	11110000	11110000	0
00010	00000011	00000001	0
00010	11111111	11111111	0
00011	00000001	00000010	0
00011	00000001	00000010	1
00011	11111111	11111111	0
00011	11111111	11111111	1
00011	00011111	00000011	0
00011	00011111	00000011	1
00100	00011111	00000011	0
00100	10000000	00000011	0
00110	10000000	00000011	0
00101	00011111	00000011	0
00101	10000000	00000011	0
00111	10000000	00000011	0
01000	10000000	00000011	0
00111	10000000	10000000	0
01000	00000011	00000011	0
01001	00000011	00000011	0
01001	10000011	00010000	0
01010	00000011	00000011	0
01010	10000011	00010000	0
01011	00000011	00000011	0
01011	10000011	00010000	0
01100	11011010	00000010	1
01100	11011010	00000011	0
01101	11011010	00000001	1
01101	11011010	00000011	0
01110	11011010	00000001	0
01110	11011010	00000010	1
01111	11011010	00000001	0
01111	11011010	00000010	1
